"filename", "language", "TypeScript", "JSON", "Markdown", "HTML", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"c:\Users\Wuxia\Game_Projects\undercover_threejs\CLAUDE.md", "Markdown", 0, 0, 1127, 0, 0, 0, 0, 531, 1658
"c:\Users\Wuxia\Game_Projects\undercover_threejs\README.md", "Markdown", 0, 0, 363, 0, 0, 0, 0, 89, 452
"c:\Users\Wuxia\Game_Projects\undercover_threejs\assets\3d\animations\README.md", "Markdown", 0, 0, 72, 0, 0, 0, 0, 20, 92
"c:\Users\Wuxia\Game_Projects\undercover_threejs\assets\3d\characters\README.md", "Markdown", 0, 0, 51, 0, 0, 0, 0, 16, 67
"c:\Users\Wuxia\Game_Projects\undercover_threejs\index.html", "HTML", 0, 0, 0, 679, 0, 0, 0, 1, 680
"c:\Users\Wuxia\Game_Projects\undercover_threejs\package-lock.json", "JSON", 0, 1767, 0, 0, 0, 0, 0, 1, 1768
"c:\Users\Wuxia\Game_Projects\undercover_threejs\package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\asset-check.ts", "TypeScript", 239, 0, 0, 0, 0, 0, 58, 30, 327
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\browser-drive.mjs", "JavaScript", 0, 0, 0, 0, 0, 401, 16, 19, 436
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\cdp.mjs", "JavaScript", 0, 0, 0, 0, 0, 105, 2, 12, 119
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\combat-matrix.ts", "TypeScript", 191, 0, 0, 0, 0, 0, 28, 17, 236
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\door-tests.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 27, 16, 152
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\duty-tests.ts", "TypeScript", 131, 0, 0, 0, 0, 0, 26, 22, 179
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\guard-tests.ts", "TypeScript", 677, 0, 0, 0, 0, 0, 111, 82, 870
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\medical-tests.ts", "TypeScript", 266, 0, 0, 0, 0, 0, 37, 40, 343
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\nav-tests.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 36, 14, 159
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\npc-routine-tests.ts", "TypeScript", 209, 0, 0, 0, 0, 0, 48, 27, 284
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\play.mjs", "JavaScript", 0, 0, 0, 0, 0, 22, 5, 6, 33
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\roster-tests.ts", "TypeScript", 149, 0, 0, 0, 0, 0, 26, 20, 195
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\round-tests.ts", "TypeScript", 204, 0, 0, 0, 0, 0, 20, 20, 244
"c:\Users\Wuxia\Game_Projects\undercover_threejs\scripts\search-tests.ts", "TypeScript", 273, 0, 0, 0, 0, 0, 43, 37, 353
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\fx\Audio.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 34, 21, 174
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\fx\Effects.ts", "TypeScript", 159, 0, 0, 0, 0, 0, 13, 20, 192
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\game\CameraRig.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 28, 23, 166
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\game\Game.ts", "TypeScript", 1466, 0, 0, 0, 0, 0, 301, 203, 1970
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\game\Input.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 12, 27, 190
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\items\ItemView.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 21, 18, 106
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\main.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 2, 8, 30
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\map\CompoundView.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 24, 15, 154
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\net\Connection.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 10, 20, 133
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\npc\DummyBot.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 18, 16, 128
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\npc\NpcView.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 36, 28, 196
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\player\CharacterAssets.ts", "TypeScript", 276, 0, 0, 0, 0, 0, 162, 47, 485
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\player\CharacterMesh.ts", "TypeScript", 431, 0, 0, 0, 0, 0, 209, 78, 718
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\player\PlayerController.ts", "TypeScript", 127, 0, 0, 0, 0, 0, 26, 30, 183
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\player\RemotePlayer.ts", "TypeScript", 153, 0, 0, 0, 0, 0, 32, 30, 215
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\ui\DebugOverlay.ts", "TypeScript", 156, 0, 0, 0, 0, 0, 22, 29, 207
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\ui\HUD.ts", "TypeScript", 306, 0, 0, 0, 0, 0, 71, 45, 422
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\ui\Minimap.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 13, 17, 106
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\ui\NameTag.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 25, 12, 86
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\ui\NetPanel.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 7, 15, 84
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\client\weapons\WeaponSystem.ts", "TypeScript", 154, 0, 0, 0, 0, 0, 63, 32, 249
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\server\CombatSystem.ts", "TypeScript", 190, 0, 0, 0, 0, 0, 37, 28, 255
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\server\GameServer.ts", "TypeScript", 816, 0, 0, 0, 0, 0, 175, 107, 1098
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\server\GuardSystem.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 16, 9, 93
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\server\PlayerState.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 58, 30, 249
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\server\RoundSystem.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 71, 26, 216
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\server\SearchSystem.ts", "TypeScript", 113, 0, 0, 0, 0, 0, 59, 20, 192
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\server\server.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 8, 5, 51
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\collision.ts", "TypeScript", 267, 0, 0, 0, 0, 0, 45, 47, 359
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\combat.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 24, 18, 130
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\constants.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 206, 21, 387
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\containers.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 6, 7, 48
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\doors.ts", "TypeScript", 125, 0, 0, 0, 0, 0, 89, 18, 232
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\duty.ts", "TypeScript", 145, 0, 0, 0, 0, 0, 78, 30, 253
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\factions.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 17, 3, 25
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\hitbox.ts", "TypeScript", 149, 0, 0, 0, 0, 0, 33, 14, 196
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\inventory.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 23, 6, 85
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\items.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 28, 12, 103
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\mapData.ts", "TypeScript", 424, 0, 0, 0, 0, 0, 167, 61, 652
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\medical.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 42, 20, 181
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\navgrid.ts", "TypeScript", 215, 0, 0, 0, 0, 0, 69, 41, 325
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\net.ts", "TypeScript", 182, 0, 0, 0, 0, 0, 200, 15, 397
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\npc.ts", "TypeScript", 1304, 0, 0, 0, 0, 0, 561, 155, 2020
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\rng.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 6, 1, 16
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\roles.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 32, 9, 118
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\roster.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 56, 15, 115
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\telegrams.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 19, 11, 87
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\types.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 6, 8, 54
"c:\Users\Wuxia\Game_Projects\undercover_threejs\src\shared\weapons.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 54, 10, 124
"c:\Users\Wuxia\Game_Projects\undercover_threejs\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\Wuxia\Game_Projects\undercover_threejs\vite.config.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 9, 2, 19
"Total", "-", 12025, 1805, 1613, 679, 18, 528, 3806, 2505, 22979
